dteday,yr,season,mnth,day,hr,holiday,weekday,workingday,casual,registered
1/1/2011,0,1,1,1,0,0,6,0,5,15
1/1/2011,0,1,1,1,1,0,6,0,6,29
1/1/2011,0,1,1,1,2,0,6,0,5,29
1/1/2011,0,1,1,1,3,0,6,0,1,7
1/1/2011,0,1,1,1,4,0,6,0,2,3
1/1/2011,0,1,1,1,5,0,6,0,0,1
1/1/2011,0,1,1,1,6,0,6,0,3,2
1/1/2011,0,1,1,1,7,0,6,0,1,2
1/1/2011,0,1,1,1,8,0,6,0,3,9
1/1/2011,0,1,1,1,9,0,6,0,6,3
1/1/2011,0,1,1,1,10,0,6,0,13,26
1/1/2011,0,1,1,1,11,0,6,0,24,27
1/1/2011,0,1,1,1,12,0,6,0,31,57
1/1/2011,0,1,1,1,13,0,6,0,45,44
1/1/2011,0,1,1,1,14,0,6,0,36,73
1/1/2011,0,1,1,1,15,0,6,0,38,67
1/1/2011,0,1,1,1,16,0,6,0,42,54
1/1/2011,0,1,1,1,17,0,6,0,12,49
1/1/2011,0,1,1,1,18,0,6,0,10,28
1/1/2011,0,1,1,1,19,0,6,0,4,28
1/1/2011,0,1,1,1,20,0,6,0,12,27
1/1/2011,0,1,1,1,21,0,6,0,1,28
1/1/2011,0,1,1,1,22,0,6,0,12,19
1/1/2011,0,1,1,1,23,0,6,0,13,21
1/2/2011,0,1,1,2,0,0,0,0,5,15
1/2/2011,0,1,1,2,1,0,0,0,0,13
1/2/2011,0,1,1,2,2,0,0,0,2,10
1/2/2011,0,1,1,2,3,0,0,0,2,1
1/2/2011,0,1,1,2,4,0,0,0,3,3
1/2/2011,0,1,1,2,6,0,0,0,0,2
1/2/2011,0,1,1,2,7,0,0,0,1,3
1/2/2011,0,1,1,2,8,0,0,0,0,5
1/2/2011,0,1,1,2,9,0,0,0,2,21
1/2/2011,0,1,1,2,10,0,0,0,5,43
1/2/2011,0,1,1,2,11,0,0,0,18,56
1/2/2011,0,1,1,2,12,0,0,0,18,70
1/2/2011,0,1,1,2,13,0,0,0,12,66
1/2/2011,0,1,1,2,14,0,0,0,2,52
1/2/2011,0,1,1,2,15,0,0,0,20,57
1/2/2011,0,1,1,2,16,0,0,0,7,64
1/2/2011,0,1,1,2,17,0,0,0,8,60
1/2/2011,0,1,1,2,18,0,0,0,8,40
1/2/2011,0,1,1,2,19,0,0,0,2,31
1/2/2011,0,1,1,2,20,0,0,0,4,14
1/2/2011,0,1,1,2,21,0,0,0,12,22
1/2/2011,0,1,1,2,22,0,0,0,0,6
1/2/2011,0,1,1,2,23,0,0,0,1,10
1/3/2011,0,1,1,3,0,0,1,1,0,2
1/3/2011,0,1,1,3,1,0,1,1,1,4
1/3/2011,0,1,1,3,4,0,1,1,0,1
1/3/2011,0,1,1,3,5,0,1,1,1,5
1/3/2011,0,1,1,3,6,0,1,1,0,27
1/3/2011,0,1,1,3,7,0,1,1,2,65
1/3/2011,0,1,1,3,8,0,1,1,1,150
1/3/2011,0,1,1,3,9,0,1,1,8,83
1/3/2011,0,1,1,3,10,0,1,1,9,30
1/3/2011,0,1,1,3,11,0,1,1,11,43
1/3/2011,0,1,1,3,12,0,1,1,11,45
1/3/2011,0,1,1,3,13,0,1,1,9,55
1/3/2011,0,1,1,3,14,0,1,1,10,63
1/3/2011,0,1,1,3,15,0,1,1,15,60
1/3/2011,0,1,1,3,16,0,1,1,7,64
1/3/2011,0,1,1,3,17,0,1,1,12,148
1/3/2011,0,1,1,3,18,0,1,1,7,145
1/3/2011,0,1,1,3,19,0,1,1,9,104
1/3/2011,0,1,1,3,20,0,1,1,1,46
1/3/2011,0,1,1,3,21,0,1,1,4,51
1/3/2011,0,1,1,3,22,0,1,1,0,17
1/3/2011,0,1,1,3,23,0,1,1,2,13
1/4/2011,0,1,1,4,0,0,2,1,0,2
1/4/2011,0,1,1,4,1,0,2,1,1,4
1/4/2011,0,1,1,4,2,0,2,1,0,1
1/4/2011,0,1,1,4,4,0,2,1,1,4
1/4/2011,0,1,1,4,5,0,2,1,0,1
1/4/2011,0,1,1,4,6,0,2,1,1,38
